Report from: 19-02-2019 16:43:16
    Check #OUT_CMPC_SI_EQ002=0 - Ok
    Set #TUN_IN_SI2=76 - Ok
    Check #OUT_CMPC_SI_EQ002=0 - Ok
    Set #TUN_IN_SI2=75 - Ok
    Check #OUT_CMPC_SI_EQ002=0 - Ok
    Set #TUN_IN_SI2=0 - Ok
    Check #OUT_CMPC_SI_EQ002=1 - Ok
    Set #TUN_IN_SI2=-26 - Ok
    Check #OUT_CMPC_SI_EQ002=1 - Ok
Endtest - Ok

Test AFB_CMPС_SI_EQ_-24, AFB tests for CMPС_SI_EQ element
    Set #TUN_IN_SI3=-78 - Ok
    Check #OUT_CMPC_SI_EQ003=0 - Ok
    Set #TUN_IN_SI3=-74 - Ok
    Check #OUT_CMPC_SI_EQ003=1 - Ok
    Set #TUN_IN_SI3=-49 - Ok
    Check #OUT_CMPC_SI_EQ003=1 - Ok
    Set #TUN_IN_SI3=1 - Ok
    Check #OUT_CMPC_SI_EQ003=1 - Ok
    Set #TUN_IN_SI3=1 - Ok
    Check #OUT_CMPC_SI_EQ003=1 - Ok
    Set #TUN_IN_SI3=25 - Ok
    Check #OUT_CMPC_SI_EQ003=1 - Ok
    Set #TUN_IN_SI3=26 - Ok
    Check #OUT_CMPC_SI_EQ003=1 - Ok
    Set #TUN_IN_SI3=27 - Ok
    Check #OUT_CMPC_SI_EQ003=0 - Ok
    Set #TUN_IN_SI3=26 - Ok
    Check #OUT_CMPC_SI_EQ003=1 - Ok
    Set #TUN_IN_SI3=1 - Ok
    Check #OUT_CMPC_SI_EQ003=1 - Ok
    Set #TUN_IN_SI3=51 - Ok
    Check #OUT_CMPC_SI_EQ003=0 - Ok
    Set #TUN_IN_SI3=-74 - Ok
    Check #OUT_CMPC_SI_EQ003=1 - Ok
    Set #TUN_IN_SI3=-75 - Ok
    Check #OUT_CMPC_SI_EQ003=0 - Ok
Endtest - Ok

Test AFB_CMPС_SI_GR_0, AFB tests for CMPС_SI_GR element
    Set #TUN_IN_SI1=100 - Ok
    Check #OUT_CMPC_SI_GR001=1 - Ok
    Set #TUN_IN_SI1=75 - Ok
    Check #OUT_CMPC_SI_GR001=1 - Ok
    Set #TUN_IN_SI1=50 - Ok
    Check #OUT_CMPC_SI_GR001=1 - Ok
    Set #TUN_IN_SI1=25 - Ok
    Check #OUT_CMPC_SI_GR001=1 - Ok
    Set #TUN_IN_SI1=1 - Ok
    Check #OUT_CMPC_SI_GR001=1 - Ok
    Set #TUN_IN_SI1=0 - Ok
    Check #OUT_CMPC_SI_GR001=1 - Ok
    Set #TUN_IN_SI1=-1 - Ok
    Check #OUT_CMPC_SI_GR001=1 - Ok
    Set #TUN_IN_SI1=-10 - Ok
    Check #OUT_CMPC_SI_GR001=1 - Ok
    Set #TUN_IN_SI1=-20 - Ok
    Check #OUT_CMPC_SI_GR001=1 - Ok
    Set #TUN_IN_SI1=-21 - Ok
    Check #OUT_CMPC_SI_GR001=0 - Ok
    Set #TUN_IN_SI1=-25 - Ok
    Check #OUT_CMPC_SI_GR001=0 - Ok
    Set #TUN_IN_SI1=-26 - Ok
    Check #OUT_CMPC_SI_GR001=0 - Ok
    Set #TUN_IN_SI1=-74 - Ok
    Check #OUT_CMPC_SI_GR001=0 - Ok
    Set #TUN_IN_SI1=-75 - Ok
    Check #OUT_CMPC_SI_GR001=0 - Ok
    Set #TUN_IN_SI1=-76 - Ok
    Check #OUT_CMPC_SI_GR001=0 - Ok
    Set #TUN_IN_SI1=-99 - Ok
    Check #OUT_CMPC_SI_GR001=0 - Ok
    Set #TUN_IN_SI1=-100 - Ok
    Check #OUT_CMPC_SI_GR001=0 - Ok
    Set #TUN_IN_SI1=-101 - Ok
    Check #OUT_CMPC_SI_GR001=0 - Ok
    Set #TUN_IN_SI1=-100 - Ok
    Check #OUT_CMPC_SI_GR001=0 - Ok
Endtest - Ok

Test AFB_CMPС_SI_GR_11, AFB tests for CMPС_SI_GR element
    Set #TUN_IN_SI2=100 - Ok
    Check #OUT_CMPC_SI_GR002=1 - Ok
    Set #TUN_IN_SI2=75 - Ok
    Check #OUT_CMPC_SI_GR002=1 - Ok
    Set #TUN_IN_SI2=50 - Ok
    Check #OUT_CMPC_SI_GR002=1 - Ok
    Set #TUN_IN_SI2=25 - Ok
    Check #OUT_CMPC_SI_GR002=1 - Ok
    Set #TUN_IN_SI2=11 - Ok
    Check #OUT_CMPC_SI_GR002=1 - Ok
    Set #TUN_IN_SI2=0 - Ok
    Check #OUT_CMPC_SI_GR002=1 - Ok
    Set #TUN_IN_SI2=-1 - Ok
    Check #OUT_CMPC_SI_GR002=1 - Ok
    Set #TUN_IN_SI2=-10 - Ok
    Check #OUT_CMPC_SI_GR002=0 - Ok
    Set #TUN_IN_SI2=-11 - Ok
    Check #OUT_CMPC_SI_GR002=0 - Ok
    Set #TUN_IN_SI2=-210 - Ok
    Check #OUT_CMPC_SI_GR002=0 - Ok
    Set #TUN_IN_SI2=-20 - Ok
    Check #OUT_CMPC_SI_GR002=0 - Ok
    Set #TUN_IN_SI2=-11 - Ok
    Check #OUT_CMPC_SI_GR002=0 - Ok
    Set #TUN_IN_SI2=0 - Ok
    Check #OUT_CMPC_SI_GR002=0 - Ok
    Set #TUN_IN_SI2=11 - Ok
    Check #OUT_CMPC_SI_GR002=0 - Ok
    Set #TUN_IN_SI2=12 - Ok
    Check #OUT_CMPC_SI_GR002=1 - Ok
    Set #TUN_IN_SI2=25 - Ok
    Check #OUT_CMPC_SI_GR002=1 - Ok
    Set #TUN_IN_SI2=100 - Ok
    Check #OUT_CMPC_SI_GR002=1 - Ok
    Set #TUN_IN_SI2=9999 - Ok
    Check #OUT_CMPC_SI_GR002=1 - Ok
    Set #TUN_IN_SI2=99988899 - Ok
    Check #OUT_CMPC_SI_GR002=1 - Ok
Endtest - Ok

Test AFB_CMPС_SI_GR_-11, AFB tests for CMPС_SI_GR element
    Set #TUN_IN_SI3=100 - Ok
    Check #OUT_CMPC_SI_GR003=1 - Ok
    Set #TUN_IN_SI3=75 - Ok
    Check #OUT_CMPC_SI_GR003=1 - Ok
    Set #TUN_IN_SI3=50 - Ok
    Check #OUT_CMPC_SI_GR003=1 - Ok
    Set #TUN_IN_SI3=25 - Ok
    Check #OUT_CMPC_SI_GR003=1 - Ok
    Set #TUN_IN_SI3=11 - Ok
    Check #OUT_CMPC_SI_GR003=1 - Ok
    Set #TUN_IN_SI3=0 - Ok
    Check #OUT_CMPC_SI_GR003=1 - Ok
    Set #TUN_IN_SI3=-1 - Ok
    Check #OUT_CMPC_SI_GR003=1 - Ok
    Set #TUN_IN_SI3=-31 - Ok
    Check #OUT_CMPC_SI_GR003=1 - Ok
    Set #TUN_IN_SI3=-32 - Ok
    Check #OUT_CMPC_SI_GR003=0 - Ok
    Set #TUN_IN_SI3=-210 - Ok
    Check #OUT_CMPC_SI_GR003=0 - Ok
    Set #TUN_IN_SI3=-33 - Ok
    Check #OUT_CMPC_SI_GR003=0 - Ok
    Set #TUN_IN_SI3=-32 - Ok
    Check #OUT_CMPC_SI_GR003=0 - Ok
    Set #TUN_IN_SI3=-11 - Ok
    Check #OUT_CMPC_SI_GR003=0 - Ok
    Set #TUN_IN_SI3=11 - Ok
    Check #OUT_CMPC_SI_GR003=1 - Ok
    Set #TUN_IN_SI3=12 - Ok
    Check #OUT_CMPC_SI_GR003=1 - Ok
    Set #TUN_IN_SI3=25 - Ok
    Check #OUT_CMPC_SI_GR003=1 - Ok
    Set #TUN_IN_SI3=100 - Ok
    Check #OUT_CMPC_SI_GR003=1 - Ok
    Set #TUN_IN_SI3=9999 - Ok
    Check #OUT_CMPC_SI_GR003=1 - Ok
    Set #TUN_IN_SI3=99988899 - Ok
    Check #OUT_CMPC_SI_GR003=1 - Ok
Endtest - Ok

Test AFB_CMPС_SI_LS_0, AFB tests for CMPС_SI_LS element
    Set #TUN_IN_SI1=100 - Ok
    Check #OUT_CMPC_SI_LS001=1 - Ok
    Set #TUN_IN_SI1=75 - Ok
    Check #OUT_CMPC_SI_LS001=1 - Ok
    Set #TUN_IN_SI1=50 - Ok
    Check #OUT_CMPC_SI_LS001=1 - Ok
    Set #TUN_IN_SI1=25 - Ok
    Check #OUT_CMPC_SI_LS001=1 - Ok
    Set #TUN_IN_SI1=1 - Ok
    Check #OUT_CMPC_SI_LS001=1 - Ok
    Set #TUN_IN_SI1=0 - Ok
    Check #OUT_CMPC_SI_LS001=1 - Ok
    Set #TUN_IN_SI1=-1 - Ok
    Check #OUT_CMPC_SI_LS001=1 - Ok
    Set #TUN_IN_SI1=-10 - Ok
    Check #OUT_CMPC_SI_LS001=1 - Ok
    Set #TUN_IN_SI1=-20 - Ok
    Check #OUT_CMPC_SI_LS001=1 - Ok
    Set #TUN_IN_SI1=-21 - Ok
    Check #OUT_CMPC_SI_LS001=1 - Ok
    Set #TUN_IN_SI1=-25 - Ok
    Check #OUT_CMPC_SI_LS001=1 - Ok
    Set #TUN_IN_SI1=-26 - Ok
    Check #OUT_CMPC_SI_LS001=1 - Ok
    Set #TUN_IN_SI1=-74 - Ok
    Check #OUT_CMPC_SI_LS001=1 - Ok
    Set #TUN_IN_SI1=-75 - Ok
    Check #OUT_CMPC_SI_LS001=1 - Ok
    Set #TUN_IN_SI1=-76 - Ok
    Check #OUT_CMPC_SI_LS001=1 - Ok
    Set #TUN_IN_SI1=-99 - Ok
    Check #OUT_CMPC_SI_LS001=1 - Ok
    Set #TUN_IN_SI1=-100 - Ok
    Check #OUT_CMPC_SI_LS001=1 - Ok
    Set #TUN_IN_SI1=-101 - Ok
    Check #OUT_CMPC_SI_LS001=1 - Ok
    Set #TUN_IN_SI1=-100 - Ok
    Check #OUT_CMPC_SI_LS001=1 - Ok
Endtest - Ok

Test AFB_CMPС_SI_LS_11, AFB tests for CMPС_SI_LS element
    Set #TUN_IN_SI2=-100 - Ok
    Check #OUT_CMPC_SI_LS002=1 - Ok
    Set #TUN_IN_SI2=-75 - Ok
    Check #OUT_CMPC_SI_LS002=1 - Ok
    Set #TUN_IN_SI2=-50 - Ok
    Check #OUT_CMPC_SI_LS002=1 - Ok
    Set #TUN_IN_SI2=-1 - Ok
    Check #OUT_CMPC_SI_LS002=1 - Ok
    Set #TUN_IN_SI2=0 - Ok
    Check #OUT_CMPC_SI_LS002=1 - Ok
    Set #TUN_IN_SI2=1 - Ok
    Check #OUT_CMPC_SI_LS002=1 - Ok
    Set #TUN_IN_SI2=21 - Ok
    Check #OUT_CMPC_SI_LS002=1 - Ok
    Set #TUN_IN_SI2=22 - Ok
    Check #OUT_CMPC_SI_LS002=1 - Ok
    Set #TUN_IN_SI2=40 - Ok
    Check #OUT_CMPC_SI_LS002=1 - Ok
    Set #TUN_IN_SI2=22 - Ok
    Check #OUT_CMPC_SI_LS002=1 - Ok
    Set #TUN_IN_SI2=21 - Ok
    Check #OUT_CMPC_SI_LS002=1 - Ok
    Set #TUN_IN_SI2=1 - Ok
    Check #OUT_CMPC_SI_LS002=1 - Ok
    Set #TUN_IN_SI2=0 - Ok
    Check #OUT_CMPC_SI_LS002=1 - Ok
    Set #TUN_IN_SI2=-1 - Ok
    Check #OUT_CMPC_SI_LS002=1 - Ok
    Set #TUN_IN_SI2=-10 - Ok
    Check #OUT_CMPC_SI_LS002=1 - Ok
    Set #TUN_IN_SI2=-25 - Ok
    Check #OUT_CMPC_SI_LS002=1 - Ok
    Set #TUN_IN_SI2=-100 - Ok
    Check #OUT_CMPC_SI_LS002=1 - Ok
    Set #TUN_IN_SI2=-9999 - Ok
    Check #OUT_CMPC_SI_LS002=1 - Ok
    Set #TUN_IN_SI2=-99988899 - Ok
    Check #OUT_CMPC_SI_LS002=1 - Ok
Endtest - Ok

Test AFB_CMPС_SI_LS_-11, AFB tests for CMPС_SI_LS element
    Set #TUN_IN_SI3=-100 - Ok
    Check #OUT_CMPC_SI_LS003=0 - Ok
    Set #TUN_IN_SI3=-75 - Ok
    Check #OUT_CMPC_SI_LS003=0 - Ok
    Set #TUN_IN_SI3=-50 - Ok
    Check #OUT_CMPC_SI_LS003=0 - Ok
    Set #TUN_IN_SI3=-33 - Ok
    Check #OUT_CMPC_SI_LS003=0 - Ok
    Set #TUN_IN_SI3=-32 - Ok
    Check #OUT_CMPC_SI_LS003=0 - Ok
    Set #TUN_IN_SI3=-100 - Ok
    Check #OUT_CMPC_SI_LS003=0 - Ok
    Set #TUN_IN_SI3=-99 - Ok
    Check #OUT_CMPC_SI_LS003=0 - Ok
    Set #TUN_IN_SI3=-33 - Ok
    Check #OUT_CMPC_SI_LS003=0 - Ok
    Set #TUN_IN_SI3=-12 - Ok
    Check #OUT_CMPC_SI_LS003=0 - Ok
    Set #TUN_IN_SI3=-11 - Ok
    Check #OUT_CMPC_SI_LS003=0 - Ok
    Set #TUN_IN_SI3=-10 - Ok
    Check #OUT_CMPC_SI_LS003=0 - Ok
    Set #TUN_IN_SI3=-1 - Ok
    Check #OUT_CMPC_SI_LS003=0 - Ok
    Set #TUN_IN_SI3=0 - Ok
    Check #OUT_CMPC_SI_LS003=0 - Ok
    Set #TUN_IN_SI3=11 - Ok
    Check #OUT_CMPC_SI_LS003=0 - Ok
    Set #TUN_IN_SI3=12 - Ok
    Check #OUT_CMPC_SI_LS003=0 - Ok
    Set #TUN_IN_SI3=25 - Ok
    Check #OUT_CMPC_SI_LS003=0 - Ok
    Set #TUN_IN_SI3=100 - Ok
    Check #OUT_CMPC_SI_LS003=0 - Ok
    Set #TUN_IN_SI3=9999 - Ok
    Check #OUT_CMPC_SI_LS003=0 - Ok
    Set #TUN_IN_SI3=99988899 - Ok
    Check #OUT_CMPC_SI_LS003=0 - Ok
Endtest - Ok

Test AFB_CMPС_SI_NE_0, AFB tests for CMPС_SI_NE element
    Set #TUN_IN_SI1=1500 - Ok
    Check #OUT_CMPC_SI_NE001=1 - Ok
    Set #TUN_IN_SI1=1300 - Ok
    Check #OUT_CMPC_SI_NE001=1 - Ok
    Set #TUN_IN_SI1=1250 - Ok
    Check #OUT_CMPC_SI_NE001=0 - Ok
    Set #TUN_IN_SI1=1249 - Ok
    Check #OUT_CMPC_SI_NE001=0 - Ok
    Set #TUN_IN_SI1=100 - Ok
    Check #OUT_CMPC_SI_NE001=0 - Ok
    Set #TUN_IN_SI1=1 - Ok
    Check #OUT_CMPC_SI_NE001=0 - Ok
    Set #TUN_IN_SI1=0 - Ok
    Check #OUT_CMPC_SI_NE001=0 - Ok
    Set #TUN_IN_SI1=-1 - Ok
    Check #OUT_CMPC_SI_NE001=0 - Ok
    Set #TUN_IN_SI1=-1249 - Ok
    Check #OUT_CMPC_SI_NE001=0 - Ok
    Set #TUN_IN_SI1=-1250 - Ok
    Check #OUT_CMPC_SI_NE001=0 - Ok
    Set #TUN_IN_SI1=-1251 - Ok
    Check #OUT_CMPC_SI_NE001=1 - Ok
Endtest - Ok

Test AFB_CMPС_SI_NE_800, AFB tests for CMPС_SI_NE element
    Set #TUN_IN_SI2=3000 - Ok
    Check #OUT_CMPC_SI_NE002=1 - Ok
    Set #TUN_IN_SI2=2500 - Ok
    Check #OUT_CMPC_SI_NE002=1 - Ok
    Set #TUN_IN_SI2=2051 - Ok
    Check #OUT_CMPC_SI_NE002=1 - Ok
    Set #TUN_IN_SI2=2050 - Ok
    Check #OUT_CMPC_SI_NE002=0 - Ok
    Set #TUN_IN_SI2=2049 - Ok
    Check #OUT_CMPC_SI_NE002=0 - Ok
    Set #TUN_IN_SI2=100 - Ok
    Check #OUT_CMPC_SI_NE002=0 - Ok
    Set #TUN_IN_SI2=1 - Ok
    Check #OUT_CMPC_SI_NE002=0 - Ok
    Set #TUN_IN_SI2=0 - Ok
    Check #OUT_CMPC_SI_NE002=0 - Ok
    Set #TUN_IN_SI2=-1 - Ok
    Check #OUT_CMPC_SI_NE002=0 - Ok
    Set #TUN_IN_SI2=-449 - Ok
    Check #OUT_CMPC_SI_NE002=0 - Ok
    Set #TUN_IN_SI2=-450 - Ok
    Check #OUT_CMPC_SI_NE002=0 - Ok
Endtest - Ok

Test AFB_CMPС_SI_NE_-800, AFB tests for CMPС_SI_NE element
    Set #TUN_IN_SI3=3000 - Ok
    Check #OUT_CMPC_SI_NE003=1 - Ok
    Set #TUN_IN_SI3=1000 - Ok
    Check #OUT_CMPC_SI_NE003=1 - Ok
    Set #TUN_IN_SI3=451 - Ok
    Check #OUT_CMPC_SI_NE003=1 - Ok
    Set #TUN_IN_SI3=450 - Ok
    Check #OUT_CMPC_SI_NE003=0 - Ok
    Set #TUN_IN_SI3=449 - Ok
    Check #OUT_CMPC_SI_NE003=0 - Ok
    Set #TUN_IN_SI3=1 - Ok
    Check #OUT_CMPC_SI_NE003=0 - Ok
    Set #TUN_IN_SI3=0 - Ok
    Check #OUT_CMPC_SI_NE003=0 - Ok
    Set #TUN_IN_SI3=-1 - Ok
    Check #OUT_CMPC_SI_NE003=0 - Ok
    Set #TUN_IN_SI3=-100 - Ok
    Check #OUT_CMPC_SI_NE003=0 - Ok
    Set #TUN_IN_SI3=-2049 - Ok
    Check #OUT_CMPC_SI_NE003=0 - Ok
    Set #TUN_IN_SI3=-2050 - Ok
    Check #OUT_CMPC_SI_NE003=0 - Ok
    Set #TUN_IN_SI3=-2051 - Ok
    Check #OUT_CMPC_SI_NE003=1 - Ok
Endtest - Ok

